Date;Workout;Goal;Period;Week;Day;Time;Set 1;Set 2;Set 3;Set 4;Set 5;Sum of Sets;Kcal
11/15/2021 6:50 PM;Push-ups;100;6 weeks;3;1;08:47;20;26;20;14;8;88;23
11/18/2021 1:24 AM;Push-ups;100;6 weeks;2;1;07:21;18;23;18;16;8;83;21
11/19/2021 8:17 PM;Push-ups;100;6 weeks;1;1;07:01;17;21;17;15;23;93;25
11/22/2021 11:24 PM;Push-ups;100;6 weeks;1;2;08:40;17;22;17;15;26;97;24
11/25/2021 2:01 PM;Push-ups;100;6 weeks;1;3;10:24;17;22;17;15;30;101;20
11/28/2021 12:25 AM;Push-ups;100;6 weeks;2;1;08:05;18;23;18;16;25;100;33
11/29/2021 11:51 PM;Push-ups;100;6 weeks;2;2;09:13;19;24;19;17;27;106;28
12/1/2021 8:15 PM;Push-ups;100;6 weeks;2;3;10:24;20;25;20;17;31;113;25
12/3/2021 6:12 PM;Push-ups;100;6 weeks;3;1;10:33;20;26;20;18;31;115;29
12/5/2021 10:07 PM;Push-ups;100;6 weeks;3;2;11:40;22;28;22;19;32;123;28
12/7/2021 10:42 PM;Push-ups;100;6 weeks;3;3;13:29;23;29;23;20;35;130;31
12/7/2021 10:57 PM;Sit-ups;200;6 weeks;1;1;08:38;15;19;15;13;20;82;24
12/7/2021 11:09 PM;Plank;10:00;6 weeks;1;1;08:05;00:35;00:45;00:35;00:30;01:32;03:57;44
12/10/2021 7:11 PM;Push-ups;100;6 weeks;4;1;11:29;24;31;24;21;26;126;44
12/10/2021 7:23 PM;Squats;200;6 weeks;1;1;07:09;13;16;13;11;25;78;17
12/10/2021 7:33 PM;Plank;10:00;6 weeks;1;2;10:15;00:35;00:45;00:35;00:30;01:42;04:07;45
12/13/2021 12:30 AM;Push-ups;100;6 weeks;4;1;11:26;24;31;24;21;33;133;36
12/13/2021 11:41 PM;Sit-ups;200;6 weeks;1;2;11:20;15;19;15;14;40;103;30
12/13/2021 11:55 PM;Squats;200;6 weeks;1;2;09:22;13;17;13;12;40;95;24
12/14/2021 12:07 AM;Plank;10:00;6 weeks;1;3;12:50;00:40;00:50;00:40;00:35;01:53;04:38;51
12/15/2021 9:39 PM;Push-ups;100;6 weeks;4;2;15:12;26;33;26;23;36;144;44
12/15/2021 9:56 PM;Sit-ups;200;6 weeks;1;3;13:20;16;21;16;14;40;107;27
12/15/2021 10:13 PM;Squats;200;6 weeks;1;3;11:41;15;19;15;13;40;102;27
12/15/2021 10:28 PM;Plank;10:00;6 weeks;2;1;09:15;00:45;00:55;00:45;00:40;02:02;05:07;56
12/18/2021 5:33 PM;Sit-ups;200;6 weeks;2;1;10:37;17;22;17;15;45;116;34
12/18/2021 5:48 PM;Push-ups;100;6 weeks;4;3;17:17;28;35;28;25;39;155;51
12/18/2021 6:11 PM;Squats;200;6 weeks;2;1;08:20;16;20;16;14;50;116;25
12/18/2021 6:23 PM;Plank;10:00;6 weeks;2;2;09:39;00:50;01:00;00:50;00:45;00:06;03:31;39
12/18/2021 6:33 PM;Plank;10:00;6 weeks;2;2;37:07;00:50;01:00;00:50;00:45;02:25;05:50;64
12/20/2021 9:39 PM;Push-ups;100;6 weeks;5;1;16:35;29;37;29;26;41;162;57
12/20/2021 10:02 PM;Sit-ups;200;6 weeks;2;2;10:33;19;24;19;17;27;106;23
12/20/2021 10:21 PM;Squats;200;6 weeks;2;2;11:19;18;22;18;16;55;129;37
12/20/2021 10:36 PM;Plank;10:00;6 weeks;2;3;13:56;00:55;01:10;00:55;00:50;01:58;05:48;64
12/23/2021 9:51 PM;Push-ups;100;6 weeks;5;2;16:48;31;40;31;28;34;164;56
12/23/2021 10:12 PM;Sit-ups;200;6 weeks;2;3;12:56;21;27;21;19;40;128;41
12/23/2021 10:25 PM;Squats;200;6 weeks;2;3;02:07;20;25;20;18;40;123;11
12/23/2021 10:49 PM;Plank;10:00;6 weeks;3;1;12:05;01:00;01:20;01:00;00:55;01:42;05:57;66
12/25/2021 10:16 PM;Push-ups;100;6 weeks;5;3;19:29;34;43;34;30;47;188;46
12/25/2021 10:37 PM;Squats;200;6 weeks;3;1;03:35;22;28;22;19;50;141;10
12/25/2021 10:42 PM;Sit-ups;200;6 weeks;3;1;13:06;23;30;23;21;40;137;46
12/25/2021 11:00 PM;Plank;10:00;6 weeks;3;2;15:43;01:10;01:30;01:10;01:05;02:40;07:35;84
12/27/2021 9:42 PM;Push-ups;100;6 weeks;6;1;40:57;36;46;36;32;52;202;176
12/27/2021 10:30 PM;Sit-ups;200;6 weeks;3;2;00:12;26;34;26;23;45;154;1
12/27/2021 10:31 PM;Squats;200;6 weeks;3;2;13:28;25;32;25;22;65;169;44
12/27/2021 10:49 PM;Plank;10:00;6 weeks;3;3;17:55;01:20;01:45;01:20;01:15;02:07;07:47;86
12/29/2021 11:12 PM;Push-ups;100;6 weeks;6;2;24:56;38;49;38;34;64;223;42
12/29/2021 11:45 PM;Plank;10:00;6 weeks;4;1;13:50;01:30;01:55;01:30;01:20;01:25;07:40;85
12/30/2021 1:17 AM;Squats;200;6 weeks;3;3;15:39;28;36;28;25;70;187;47
1/5/2022 10:47 PM;Squats;200;6 weeks;4;1;10:57;31;40;31;28;50;180;45
1/9/2022 10:04 PM;Push-ups;100;6 weeks;6;3;26:35;41;53;41;37;61;233;89
1/9/2022 10:44 PM;Plank;10:00;6 weeks;4;1;14:51;01:30;01:55;01:30;01:20;02:05;08:20;96
1/9/2022 11:14 PM;Squats;200;6 weeks;4;2;15:01;36;45;36;32;65;214;60
1/9/2022 11:33 PM;Sit-ups;200;6 weeks;3;3;22:41;30;38;30;26;41;165;49
4/26/2022 11:31 PM;Push-ups;100;6 weeks;1;1;05:39;12;16;12;11;21;72;17
4/26/2022 11:40 PM;Hand Presses;250;6 weeks;1;1;06:32;18;23;18;16;35;110;27
5/2/2022 12:23 AM;Push-ups;100;6 weeks;1;2;07:50;13;16;13;11;25;78;19
5/2/2022 12:32 AM;Hand Presses;250;6 weeks;1;2;08:28;19;24;19;17;40;119;26
5/3/2022 12:54 AM;Push-ups;100;6 weeks;1;3;08:44;13;17;13;12;25;80;7
5/3/2022 1:03 AM;Hand Presses;250;6 weeks;1;3;09:45;20;26;20;18;40;124;18
5/6/2022 7:02 PM;Push-ups;100;6 weeks;2;1;08:13;14;17;14;12;30;87;29
5/13/2022 11:45 PM;Push-ups;100;6 weeks;2;2;08:21;14;19;14;13;25;85;19
6/16/2022 12:27 AM;Push-ups;100;6 weeks;1;1;08:55;12;16;12;11;25;76;28
7/15/2022 11:45 PM;Push-ups;100;6 weeks;1;1;06:38;12;16;12;11;20;71;20
7/15/2022 11:54 PM;Sit-ups;200;6 weeks;1;2;10:04;13;17;13;12;19;74;21
7/16/2022 12:41 AM;Plank;10:00;6 weeks;1;1;07:34;00:35;00:40;00:35;00:30;01:06;03:26;38
7/16/2022 12:51 AM;Hand Presses;250;6 weeks;1;1;06:11;18;23;18;16;30;105;19
7/18/2022 3:15 AM;Push-ups;100;6 weeks;1;2;08:02;13;16;13;11;23;76;18
7/18/2022 3:40 AM;Plank;10:00;6 weeks;1;2;09:47;00:35;00:45;00:35;00:30;01:14;03:39;40
7/19/2022 1:16 AM;Sit-ups;200;6 weeks;1;3;13:52;15;19;15;13;25;87;30
7/19/2022 1:32 AM;Hand Presses;250;6 weeks;1;2;10:59;19;24;19;17;40;119;30
7/20/2022 1:13 AM;Push-ups;100;6 weeks;1;3;10:45;13;17;13;12;25;80;20
7/20/2022 1:34 AM;Sit-ups;200;6 weeks;2;1;13:13;16;20;16;14;25;91;53
7/20/2022 2:10 AM;Plank;10:00;6 weeks;1;3;12:16;00:40;00:50;00:40;00:35;01:21;04:06;45
7/20/2022 2:25 AM;Hand Presses;250;6 weeks;1;3;14:24;20;26;20;18;35;119;38
7/27/2022 11:59 PM;Push-ups;100;6 weeks;2;1;06:35;14;17;14;12;25;82;19
7/28/2022 12:11 AM;Sit-ups;200;6 weeks;2;2;12:38;18;22;18;16;30;104;34
7/28/2022 12:27 AM;Plank;10:00;6 weeks;2;1;08:29;00:40;00:55;00:40;00:35;01:30;04:20;48
7/28/2022 1:28 AM;Hand Presses;250;6 weeks;2;1;09:02;22;28;22;19;50;141;38
7/29/2022 8:46 PM;Push-ups;100;6 weeks;2;2;08:52;14;19;14;13;30;90;27
8/1/2022 11:44 PM;Push-ups;100;6 weeks;2;3;11:10;16;20;16;14;30;96;26
8/16/2022 12:58 AM;Push-ups;100;6 weeks;3;1;08:37;17;21;17;15;30;100;23
11/7/2022 6:06 PM;Push-ups;100;6 weeks;1;1;05:45;10;13;10;9;14;56;15
11/7/2022 6:15 PM;Sit-ups;200;6 weeks;1;1;07:39;11;14;11;10;15;61;21
11/7/2022 6:25 PM;Squats;200;6 weeks;1;1;07:29;15;19;15;13;30;92;27
11/7/2022 6:36 PM;Plank;10:00;6 weeks;1;1;06:50;00:25;00:30;00:25;00:20;01:02;02:42;30
11/9/2022 8:53 PM;Push-ups;100;6 weeks;1;2;13:52;11;14;11;9;25;70;16
11/9/2022 9:09 PM;Sit-ups;200;6 weeks;1;2;10:44;12;15;12;10;25;74;24
11/9/2022 9:22 PM;Squats;200;6 weeks;1;2;09:38;15;19;15;14;30;93;21
11/9/2022 11:03 PM;Plank;10:00;6 weeks;1;2;09:00;00:25;00:30;00:25;00:20;01:12;02:52;32
11/11/2022 8:48 PM;Push-ups;100;6 weeks;1;3;10:59;11;14;11;10;30;76;16
11/11/2022 9:01 PM;Sit-ups;200;6 weeks;1;3;13:40;13;16;13;11;30;83;32
11/11/2022 9:14 PM;Squats;200;6 weeks;1;3;02:59;16;21;16;14;35;102;8
11/11/2022 9:18 PM;Plank;10:00;6 weeks;1;3;10:00;00:30;00:35;00:30;00:25;01:22;03:22;37
11/14/2022 6:29 PM;Push-ups;100;6 weeks;2;1;07:02;12;15;12;10;25;74;24
11/14/2022 6:38 PM;Squats;200;6 weeks;2;1;09:16;17;22;17;15;30;101;27
11/14/2022 6:52 PM;Plank;10:00;6 weeks;2;1;07:49;00:30;00:40;00:30;00:30;01:31;03:41;41
11/14/2022 7:04 PM;Sit-ups;200;6 weeks;2;1;09:53;14;18;14;12;30;88;30
11/16/2022 8:45 PM;Push-ups;100;6 weeks;2;2;08:43;13;16;13;11;30;83;23
11/16/2022 8:58 PM;Plank;10:00;6 weeks;2;2;10:44;00:40;00:50;00:40;00:35;01:51;04:36;51
11/16/2022 9:12 PM;Squats;200;6 weeks;2;2;11:13;19;24;19;17;34;113;27
11/16/2022 9:25 PM;Sit-ups;200;6 weeks;2;2;13:53;16;20;16;14;35;101;49
11/18/2022 8:46 PM;Push-ups;100;6 weeks;2;3;10:06;14;18;14;12;30;88;26
11/18/2022 9:02 PM;Plank;10:00;6 weeks;2;3;12:58;00:45;01:00;00:45;00:40;01:38;04:48;53
11/18/2022 9:16 PM;Squats;200;6 weeks;2;3;14:09;21;27;21;19;40;128;33
11/21/2022 6:19 PM;Push-ups;100;6 weeks;3;1;09:23;15;19;15;13;30;92;22
11/21/2022 6:32 PM;Plank;10:00;6 weeks;3;1;12:06;00:50;01:05;00:50;00:45;02:21;05:51;65
11/21/2022 6:52 PM;Squats;200;6 weeks;3;1;12:14;23;30;23;21;40;137;32
11/21/2022 7:07 PM;Sit-ups;200;6 weeks;2;3;18:44;18;23;18;16;35;110;54
11/23/2022 6:49 PM;Push-ups;100;6 weeks;3;2;13:59;16;21;16;15;33;101;31
11/23/2022 7:07 PM;Plank;10:00;6 weeks;3;2;14:11;01:00;01:20;01:00;00:55;01:46;06:01;67
11/23/2022 7:25 PM;Squats;200;6 weeks;3;2;13:30;26;34;26;23;50;159;49
11/23/2022 7:43 PM;Sit-ups;200;6 weeks;3;1;16:12;20;26;20;18;35;119;53
11/25/2022 6:19 PM;Push-ups;100;6 weeks;3;3;14:06;18;23;18;16;35;110;25
11/25/2022 6:37 PM;Plank;10:00;6 weeks;3;3;17:18;01:15;01:35;01:15;01:05;02:00;07:10;79
11/25/2022 7:02 PM;Squats;200;6 weeks;3;3;16:50;30;38;30;26;50;174;42
11/25/2022 7:25 PM;Sit-ups;200;6 weeks;3;2;29:57;23;30;23;21;45;142;55
11/28/2022 8:51 PM;Push-ups;100;6 weeks;4;1;10:33;20;25;20;17;31;113;35
11/28/2022 9:09 PM;Plank;10:00;6 weeks;4;1;16:00;01:25;01:45;01:25;01:15;02:02;07:52;87
11/28/2022 9:32 PM;Squats;200;6 weeks;4;1;15:39;32;42;32;29;55;190;50
11/28/2022 9:54 PM;Sit-ups;200;6 weeks;3;3;23:39;27;35;27;24;45;158;71
11/30/2022 10:02 PM;Push-ups;100;6 weeks;4;2;12:45;22;28;22;19;35;126;35
11/30/2022 10:19 PM;Plank;10:00;6 weeks;4;2;18:19;01:35;02:05;01:35;01:25;02:31;09:11;102
11/30/2022 10:45 PM;Squats;200;6 weeks;4;2;20:38;37;47;37;33;55;209;29
11/30/2022 11:07 PM;Sit-ups;200;6 weeks;4;1;24:40;30;38;30;27;50;175;95
12/3/2022 9:20 PM;Push-ups;100;6 weeks;4;3;15:20;24;31;24;22;32;133;38
12/3/2022 9:45 PM;Plank;10:00;6 weeks;4;3;21:19;01:50;02:25;01:50;01:40;01:56;09:41;107
12/3/2022 10:17 PM;Squats;200;6 weeks;4;3;20:12;41;53;41;37;70;242;53
12/3/2022 10:46 PM;Sit-ups;200;6 weeks;4;2;25:25;34;43;34;31;60;202;88
12/5/2022 8:28 PM;Plank;10:00;6 weeks;4;3;21:30;01:50;02:25;01:50;01:40;02:36;10:21;115
12/5/2022 8:58 PM;Squats;200;6 weeks;5;1;20:05;45;57;45;40;75;262;63
12/5/2022 9:26 PM;Push-ups;100;6 weeks;4;3;15:05;24;31;24;22;40;141;34
12/5/2022 9:45 PM;Sit-ups;200;6 weeks;4;2;17:35;34;44;34;31;60;203;58
12/7/2022 8:47 PM;Push-ups;100;6 weeks;5;1;14:28;26;33;26;23;41;149;39
12/7/2022 9:06 PM;Plank;10:00;6 weeks;5;1;20:10;02:05;02:05;02:05;01:50;01:27;09:32;105
12/7/2022 9:36 PM;Sit-ups;200;6 weeks;4;3;17:55;39;50;39;35;60;223;46
12/10/2022 6:57 PM;Push-ups;100;6 weeks;5;2;18:20;29;37;29;26;42;163;46
12/10/2022 7:19 PM;Sit-ups;200;6 weeks;5;1;26:24;43;55;43;38;70;249;111
12/12/2022 6:17 PM;Push-ups;100;6 weeks;5;3;26:24;32;41;32;28;52;185;83
12/17/2022 7:10 PM;Plank;10:00;6 weeks;5;1;20:50;02:05;02:40;02:05;01:50;03:01;11:41;129
12/17/2022 7:58 PM;Push-ups;100;6 weeks;6;1;31:28;34;44;34;31;51;194;117
12/17/2022 8:33 PM;Sit-ups;200;6 weeks;5;2;20:12;49;62;49;43;80;283;57
1/5/2023 9:24 PM;Push-ups;100;6 weeks;5;1;12:58;26;33;26;23;40;148;45
1/5/2023 9:42 PM;Plank;10:00;6 weeks;4;1;14:00;01:25;01:45;01:25;01:15;02:01;07:51;87
1/5/2023 10:18 PM;Sit-ups;200;6 weeks;4;1;14:14;30;38;30;27;50;175;42
1/9/2023 8:21 PM;Push-ups;100;6 weeks;5;2;16:51;29;37;29;26;40;161;44
1/9/2023 8:41 PM;Plank;10:00;6 weeks;4;2;17:43;01:35;02:05;01:35;01:25;02:25;09:05;101
